epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.5206,1.80111,7.82867,2.54824,0.00553,0.71567,0.11943,0.08876,1.39243,9.10999,2.26395,0.000363346,0.000363346,0.000363346
2,104.5,1.98021,6.10046,2.59749,0.76282,0.13883,0.1481,0.1086,1.79533,6.78815,2.90062,0.000726416,0.000726416,0.000726416
3,153.993,2.09929,5.44416,2.63634,0.69236,0.21782,0.2422,0.17695,1.60149,4.76325,2.59958,0.00108215,0.00108215,0.00108215
4,202.65,2.06008,4.99605,2.61883,0.61505,0.26995,0.25404,0.1909,1.69868,3.89098,2.57516,0.001078,0.001078,0.001078
5,250.289,2.12667,4.46146,2.65749,0.64198,0.21165,0.25686,0.19753,1.7773,4.01813,2.58423,0.001067,0.001067,0.001067
6,299.386,2.06214,4.06013,2.57894,0.63454,0.28611,0.26372,0.2019,1.70723,3.15149,2.59193,0.00105601,0.00105601,0.00105601
7,348.262,2.02111,3.80524,2.56576,0.70279,0.27445,0.30323,0.2308,1.79828,3.30742,2.7746,0.00104501,0.00104501,0.00104501
8,396.097,2.02379,3.50188,2.55887,0.78699,0.25594,0.46649,0.35525,1.79024,3.25324,2.64711,0.00103401,0.00103401,0.00103401
9,443.968,1.94246,3.22885,2.50754,0.70488,0.29506,0.32396,0.25572,1.54321,2.61598,2.34003,0.00102301,0.00102301,0.00102301
10,492.057,1.91586,3.04476,2.48029,0.64837,0.28424,0.33476,0.26992,1.57838,2.60092,2.4268,0.00101201,0.00101201,0.00101201
11,541.795,2.01021,3.02846,2.50437,0.57742,0.34383,0.40956,0.3423,1.76666,2.47038,2.57155,0.00100101,0.00100101,0.00100101
12,596.195,1.87206,2.84295,2.43817,0.51618,0.34142,0.33179,0.27309,1.59713,3.16171,2.4261,0.000990012,0.000990012,0.000990012
13,646.051,1.87243,2.74165,2.45735,0.56475,0.42676,0.49994,0.42503,1.53375,2.31356,2.4103,0.000979013,0.000979013,0.000979013
14,693.665,1.8106,2.65411,2.44821,0.72903,0.24254,0.36001,0.29342,1.57696,3.1856,2.40557,0.000968014,0.000968014,0.000968014
15,741.27,1.85159,2.64768,2.45253,0.66732,0.39044,0.43592,0.3615,1.42464,2.37116,2.24155,0.000957015,0.000957015,0.000957015
16,789.114,1.88752,2.5848,2.44384,0.64475,0.41472,0.46358,0.39516,1.42753,2.29861,2.3082,0.000946016,0.000946016,0.000946016
17,836.11,1.81885,2.50412,2.453,0.64848,0.42912,0.4829,0.40416,1.50399,2.21486,2.34818,0.000935018,0.000935018,0.000935018
18,883.428,1.81969,2.38703,2.44624,0.5232,0.47906,0.49589,0.42229,1.50907,2.19176,2.34257,0.000924019,0.000924019,0.000924019
19,930.638,1.81089,2.3466,2.40235,0.61617,0.40045,0.4455,0.37758,1.40213,1.99471,2.28407,0.00091302,0.00091302,0.00091302
