epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,159.374,0.98172,4.0122,2.00228,0.62214,0.63568,0.619,0.57692,0.74231,2.87482,1.4229,0.000551781,0.000551781,0.000551781
2,303.969,0.93613,2.46809,1.91592,0.60942,0.62032,0.61022,0.56389,0.77533,2.76989,1.45487,0.00109648,0.00109648,0.00109648
3,446.359,0.94146,2.00393,1.91588,0.68291,0.71603,0.72187,0.66328,0.76444,2.08358,1.43507,0.00163018,0.00163018,0.00163018
4,586.796,0.91256,1.68618,1.90051,0.79836,0.79611,0.84767,0.78746,0.7109,1.3255,1.39856,0.00161749,0.00161749,0.00161749
5,727.921,0.84799,1.52845,1.88128,0.78145,0.80294,0.84049,0.79376,0.68003,1.26961,1.37531,0.00160099,0.00160099,0.00160099
6,868.39,0.80249,1.42587,1.85379,0.83272,0.81779,0.86404,0.81974,0.61678,1.23864,1.34028,0.00158448,0.00158448,0.00158448
7,1007.88,0.78203,1.37345,1.85558,0.81953,0.81048,0.84094,0.79594,0.59727,1.17424,1.34329,0.00156798,0.00156798,0.00156798
8,1147.4,0.79808,1.34022,1.87251,0.82324,0.79652,0.86562,0.82061,0.60896,1.18909,1.34951,0.00155148,0.00155148,0.00155148
9,1284.3,0.74256,1.2415,1.84129,0.84085,0.82072,0.88089,0.84889,0.52435,1.07603,1.30561,0.00153497,0.00153497,0.00153497
10,1422.68,0.70763,1.21813,1.82602,0.86835,0.86707,0.91053,0.87904,0.52671,0.88022,1.3115,0.00151847,0.00151847,0.00151847
11,1560.47,0.70097,1.18999,1.82561,0.83135,0.83925,0.8842,0.84862,0.53231,1.06019,1.31528,0.00150197,0.00150197,0.00150197
12,1698.41,0.7041,1.18607,1.82286,0.83332,0.85101,0.88521,0.85052,0.50828,0.9862,1.30481,0.00148546,0.00148546,0.00148546
13,1836.86,0.68498,1.16668,1.82287,0.79802,0.83751,0.87504,0.84177,0.46645,1.09906,1.27202,0.00146896,0.00146896,0.00146896
14,1974.05,0.64908,1.12025,1.80128,0.84478,0.83343,0.89455,0.8662,0.47476,0.97934,1.27366,0.00145246,0.00145246,0.00145246
15,2111.2,0.63974,1.09235,1.80052,0.86453,0.87385,0.91508,0.88571,0.47394,0.85374,1.26748,0.00143595,0.00143595,0.00143595
16,2250.58,0.64869,1.07563,1.80997,0.83472,0.85758,0.89269,0.86608,0.48107,0.94351,1.26949,0.00141945,0.00141945,0.00141945
17,2388.17,0.64235,1.0729,1.79837,0.88697,0.85972,0.92656,0.8999,0.44675,0.84087,1.26672,0.00140295,0.00140295,0.00140295
